id,name,description,price
949,Lek,maximized,47177
950,Malina,Organized,27908
951,Nichols,model,24191
952,Alex,project,28388
953,Rhodia,parallelism,5557
954,Neil,ability,36638
955,Ingar,optimizing,3402
956,Abrahan,intangible,36027
957,Sindee,service-desk,19361
958,Ruthann,even-keeled,35783
959,Lynett,foreground,13045
960,Warde,paradigm,34261
961,Mozelle,middleware,6905
962,Neville,Switchable,27652
963,Barbabas,reciprocal,34858
964,Valerie,analyzing,23560
965,Brandie,global,40200
966,Ashlan,Innovative,29515
967,Pavia,Open-architected,17141
968,Shandeigh,Intuitive,23535
969,Reinaldo,Future-proofed,35991
970,Esme,website,39138
971,Doretta,multimedia,2077
972,Goraud,core,13974
973,Ania,mobile,8604
974,Alida,functionalities,43543
975,Franky,bi-directional,34296
976,Brant,standardization,23124
977,Micaela,Cloned,13011
978,Noemi,value-added,29132
979,Kathy,web-enabled,6849
980,Ricki,Visionary,19453
981,Rayshell,Centralized,17576
982,Henrietta,attitude-oriented,39827
983,Jorie,user-facing,47553
984,Mildrid,hybrid,7337
985,Nani,Reactive,39421
986,Bailey,Managed,37243
987,Gena,complexity,30908
988,Jean,web-enabled,45405
989,Teodoro,Assimilated,30294
990,Maddy,Integrated,38616
991,Gael,algorithm,25673
992,Chere,local area network,25846
993,Vassily,zero administration,8830
994,Marion,Persevering,10810
995,Deeann,value-added,22360
996,Matty,Mandatory,5952
997,Nichole,superstructure,36103
998,Patrice,cohesive,45697
999,Bell,object-oriented,30364
1000,Janetta,demand-driven,36931
